id,deal_id,type,title,description,source,current_status_id,created_at,updated_at,owner_individual_id,tenant_id,account_id
18,1,Job,Hudson Valley Credit Union - Solution Architect,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,17
19,1,Job,Hudson Valley Credit Union - Sr Cloud Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,17
20,1,Job,IBM - Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,18
21,1,Job,"Pryon - Software Engineer, Fullstack",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,19
22,1,Job,Nourish - Senior or Staff Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,20
23,1,Job,Adonis.io - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,21
24,1,Job,Harmonic - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,22
25,1,Job,Asana - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,23
26,1,Job,Cooperidge Consulting - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,24
28,1,Job,April - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,26
29,1,Job,Crosby - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,27
30,1,Job,Better - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,28
31,1,Job,Headspace - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,29
32,1,Job,Harvey - Staff Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,30
33,1,Job,Traversal - Full Stack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,31
34,1,Job,Brex - Software Enginer II,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,32
35,1,Job,Together AI - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,33
36,1,Job,Neem - Founding Senior Full-Stack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,34
38,1,Job,On Me - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,36
39,1,Job,Cassidy - Full Stack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,37
40,1,Job,keru.ai - Full Stack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,38
41,1,Job,Norm.AI - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,39
42,1,Job,Vestwell - Senior Software Engineer (AI),,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,13
43,1,Job,Harold - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,40
44,1,Job,Farther - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,41
45,1,Job,"Parabola - Senior Software Engineer, Full Stack",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,42
46,1,Job,Brisk Teaching - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,43
